1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,WINNER INDICATOR
171,P60005303,Georgia,GA,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,78,,0.00%,
172,P20005260,Georgia,GA,08/11/2016,Thomas,Hoefling,"Hoefling, Thomas",,W,70,,0.00%,
173,P60016623,Georgia,GA,08/11/2016,Michael L.,Smith,"Smith, Michael L.",,W,53,,0.00%,
174,P20004511,Georgia,GA,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,34,,0.00%,
175,n/a,Georgia,GA,08/11/2016,Sandra,Wilson,"Wilson, Sandra",,W,32,,0.00%,
176,P60020757,Georgia,GA,08/11/2016,Robert,Buchanan,"Buchanan, Robert",,W,31,,0.00%,
177,n/a,Georgia,GA,08/11/2016,Ricky,Muhammad,"Muhammad, Ricky",,W,30,,0.00%,
178,P60023207,Georgia,GA,08/11/2016,Scott,Cubbler,"Cubbler, Scott",,W,24,,0.00%,
179,n/a,Georgia,GA,08/11/2016,Loren,Collins,"Collins, Loren",,W,22,,0.00%,
180,P80003643,Georgia,GA,08/11/2016,Claire Elisabeth,Elliott,"Elliott, Claire Elisabeth",,W,15,,0.00%,
181,n/a,Georgia,GA,08/11/2016,David C.,Byrne,"Byrne, David C.",,W,8,,0.00%,
182,n/a,Georgia,GA,08/11/2016,Stephen L.,Allen,"Allen, Stephen L.",,W,5,,0.00%,
183,n/a,Georgia,GA,08/11/2016,Marc,Urbach,"Urbach, Marc",,W,5,,0.00%,
184,n/a,Georgia,GA,08/11/2016,,,,Total State Votes:,,,"4,114,732",,
185,n/a,Georgia,GA,08/11/2016,,,,,,,,,
186,P00003392,Hawaii,HI,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"266,891",,62.22%,W
187,P80001571,Hawaii,HI,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"128,847",,30.04%,
188,P20002671,Hawaii,HI,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"15,954",,3.72%,
189,P20003984,Hawaii,HI,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"12,737",,2.97%,
190,P60021102,Hawaii,HI,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,CON,"4,508",,1.05%,
191,n/a,Hawaii,HI,08/11/2016,,,,Total State Votes:,,,"428,937",,
192,n/a,Hawaii,HI,08/11/2016,,,,,,,,,
193,P80001571,Idaho,ID,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"409,055",,59.26%,W
194,P00003392,Idaho,ID,08/11/2016,Hillary Rodham,Clinton,"Clinton, Hillary Rodham",,DEM,"189,765",,27.49%,
195,P60022654,Idaho,ID,08/11/2016,Evan,McMullin,"McMullin, Evan",,IND,"46,476",,6.73%,
196,P20002671,Idaho,ID,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"28,331",,4.10%,
197,P20003984,Idaho,ID,08/11/2016,Jill,Stein,"Stein, Jill",,IND,"8,496",,1.23%,
198,P60021102,Idaho,ID,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,IND,"4,403",,0.64%,
199,P60007457,Idaho,ID,08/11/2016,Scott,Copeland,"Copeland, Scott",,CON,"2,356",,0.34%,
200,P60016342,Idaho,ID,08/11/2016,Rocky,De La Fuente,"De La Fuente, Rocky",,IND,"1,373",,0.20%,
201,n/a,Idaho,ID,08/11/2016,,,,Total State Votes:,,,"690,255",,
202,n/a,Idaho,ID,08/11/2016,,,,,,,,,
203,P00003392,Illinois,IL,08/11/2016,Hillary Rodham,Clinton,"Clinton, Hillary Rodham",,DEM,"3,090,729",,55.83%,W
204,P80001571,Illinois,IL,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"2,146,015",,38.76%,
205,P20002671,Illinois,IL,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"209,596",,3.79%,
