State,num_deaths,area,Date,full_name
NH,0,Northeast,2020-03-09,New Hampshire
NJ,0,Northeast,2020-03-09,New Jersey
NY,0,Northeast,2020-03-09,New York
PA,0,Northeast,2020-03-09,Pennsylvania
RI,0,Northeast,2020-03-09,Rhode Island
VT,0,Northeast,2020-03-09,Vermont
GU,0,Territories,2020-03-09,NA
MP,0,Territories,2020-03-09,NA
PR,0,Territories,2020-03-09,NA
VI,0,Territories,2020-03-09,NA
AK,0,West,2020-03-10,Alaska
AZ,0,West,2020-03-10,Arizona
CA,1,West,2020-03-10,California
CO,0,West,2020-03-10,Colorado
HI,0,West,2020-03-10,Hawaii
ID,0,West,2020-03-10,Idaho
MT,0,West,2020-03-10,Montana
NM,0,West,2020-03-10,New Mexico
NV,0,West,2020-03-10,Nevada
OR,0,West,2020-03-10,Oregon
UT,0,West,2020-03-10,Utah
WA,2,West,2020-03-10,Washington
WY,0,West,2020-03-10,Wyoming
IA,0,Midwest,2020-03-10,Iowa
IL,0,Midwest,2020-03-10,Illinois
IN,0,Midwest,2020-03-10,Indiana
KS,0,Midwest,2020-03-10,Kansas
MI,0,Midwest,2020-03-10,Michigan
MN,0,Midwest,2020-03-10,Minnesota
MO,0,Midwest,2020-03-10,Missouri
ND,0,Midwest,2020-03-10,North Dakota
NE,0,Midwest,2020-03-10,Nebraska
OH,0,Midwest,2020-03-10,Ohio
OK,0,Midwest,2020-03-10,Oklahoma
SD,1,Midwest,2020-03-10,South Dakota
WI,0,Midwest,2020-03-10,Wisconsin
AL,0,South,2020-03-10,Alabama
AR,0,South,2020-03-10,Arkansas
FL,0,South,2020-03-10,Florida
GA,0,South,2020-03-10,Georgia
KY,0,South,2020-03-10,Kentucky
LA,0,South,2020-03-10,Louisiana
MS,0,South,2020-03-10,Mississippi
NC,0,South,2020-03-10,North Carolina
SC,0,South,2020-03-10,South Carolina
TN,0,South,2020-03-10,Tennessee
TX,0,South,2020-03-10,Texas
VA,0,South,2020-03-10,Virginia
WV,0,South,2020-03-10,West Virginia
CT,0,Northeast,2020-03-10,Connecticut
DC,0,Northeast,2020-03-10,NA
DE,0,Northeast,2020-03-10,Delaware
MA,0,Northeast,2020-03-10,Massachusetts
MD,0,Northeast,2020-03-10,Maryland
ME,0,Northeast,2020-03-10,Maine
NH,0,Northeast,2020-03-10,New Hampshire
